date,subways_total_estimated_ridership,subways_%_of_comparable_pre_pandemic_day,buses_total_estimated_ridership,buses_%_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_%_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_%_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_%_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_%_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_%_of_comparable_pre_pandemic_day,weekday,is_weekend,total_ridership,pct_change_vs_2019,outlier
2020-03-18,1625280,29,1059502,47,74883,24,146118,53,15942,54,634853,69,4133,26,2,0,2925858,4240373.9130434785,0
2020-03-19,1422112,26,933602,42,59538,19,144466,52,14116,47,569696,62,3452,22,3,0,2577286,4156912.903225807,0
2020-03-20,1309125,24,868602,39,50021,16,145160,53,12744,43,563261,61,3124,20,4,0,2388776,3916026.2295081965,0
2020-03-21,619618,20,411491,31,12438,12,23700,17,6467,38,382992,44,1044,21,5,1,1074758,2442631.818181818,0
2020-03-22,408723,18,73517,7,8891,10,20830,22,4824,27,277050,34,641,20,6,1,517426,1521841.1764705882,0
2020-03-23,709499,13,59321,3,30564,10,139285,51,9902,33,361513,39,1639,10,0,0,950210,2436435.8974358975,0
2020-03-24,741587,13,60334,3,29785,10,139194,50,9133,31,395493,43,1727,11,1,0,981760,2283162.7906976743,0
2020-03-25,690032,12,51769,2,26143,8,138239,50,9512,32,375767,41,1572,10,2,0,917267,2237236.5853658537,0
2020-03-26,680360,12,49970,2,23809,8,138668,50,8795,30,390117,42,1563,10,3,0,903165,2150392.8571428573,0
2020-03-27,656817,12,45514,2,20355,6,138903,50,8409,28,396777,43,1495,9,4,0,871493,2026727.9069767443,0
2020-03-28,332393,11,19745,1,5279,5,19088,14,4491,27,240702,28,600,12,5,1,381596,1362842.857142857,0
2020-03-29,263700,12,14307,1,4358,5,18152,19,3374,19,197154,24,419,13,6,1,304310,1267958.3333333335,0
2020-03-30,545215,10,33659,2,19741,6,137762,50,8084,27,344689,37,1140,7,0,0,745601,2015137.837837838,0
2020-03-31,508106,9,32211,1,16194,5,137464,50,7672,26,337626,37,1043,7,1,0,702690,1899162.162162162,0
2020-04-01,513481,9,29373,1,10548,3,9300,3,8151,28,342221,36,720,4,2,0,571573,1587702.7777777778,0
2020-04-02,485586,9,26788,1,10057,3,9492,3,7077,24,339734,36,882,5,3,0,539882,1499672.2222222222,0
2020-04-03,483357,9,24418,1,9657,3,9770,3,7794,27,340272,36,843,5,4,0,535839,1488441.6666666665,0
2020-04-04,282278,9,13168,1,3727,3,4451,3,4375,26,243323,27,425,8,5,1,308424,1142311.1111111112,0
2020-04-05,227303,9,9748,1,2969,3,3601,3,2763,15,209151,24,300,9,6,1,246684,1027850.0,0
2020-04-06,445454,8,22418,1,10127,3,9832,3,7093,25,335768,36,819,5,0,0,495743,1377063.8888888888,0
2020-04-07,434986,8,21623,1,9312,3,9589,3,7041,24,335469,36,732,5,1,0,483283,1342452.7777777778,0
2020-04-08,427485,8,20361,1,9039,3,9292,3,6950,24,324881,35,721,4,2,0,473848,1353851.4285714286,0
