date,service,total_ridership,avg_ridership,stdev_ridership,is_outlier
2021-04-09,subway,2026724,2509054.9794841735,1062183.680628766,False
2021-04-10,subway,1391245,2509054.9794841735,1062183.680628766,False
2021-04-11,subway,899646,2509054.9794841735,1062183.680628766,False
2021-04-12,subway,1845836,2509054.9794841735,1062183.680628766,False
2021-04-13,subway,2012153,2509054.9794841735,1062183.680628766,False
2021-04-14,subway,2018126,2509054.9794841735,1062183.680628766,False
2021-04-15,subway,1906733,2509054.9794841735,1062183.680628766,False
2021-04-16,subway,2078856,2509054.9794841735,1062183.680628766,False
2021-04-17,subway,1425036,2509054.9794841735,1062183.680628766,False
2021-04-18,subway,1082503,2509054.9794841735,1062183.680628766,False
2021-04-19,subway,1911326,2509054.9794841735,1062183.680628766,False
2021-04-20,subway,2082495,2509054.9794841735,1062183.680628766,False
2021-04-21,subway,1965922,2509054.9794841735,1062183.680628766,False
2021-04-22,subway,2040232,2509054.9794841735,1062183.680628766,False
2021-04-23,subway,2121350,2509054.9794841735,1062183.680628766,False
2021-04-24,subway,1520057,2509054.9794841735,1062183.680628766,False
2021-04-25,subway,985027,2509054.9794841735,1062183.680628766,False
2021-04-26,subway,1955370,2509054.9794841735,1062183.680628766,False
2021-04-27,subway,2041698,2509054.9794841735,1062183.680628766,False
2021-04-28,subway,2135793,2509054.9794841735,1062183.680628766,False
2021-04-29,subway,2028524,2509054.9794841735,1062183.680628766,False
