date,service,total_ridership
2020-04-27,bus,15283.0
2020-04-27,lirr,8828.0
2020-04-27,metro_north,10243.0
2020-04-27,staten_island_railway,812.0
2020-04-27,subway,462888.0
2020-04-28,access_a_ride,7542.0
2020-04-28,bridges_and_tunnels,436346.0
2020-04-28,bus,16380.0
2020-04-28,lirr,9167.0
2020-04-28,metro_north,10531.0
2020-04-28,staten_island_railway,826.0
2020-04-28,subway,489247.0
2020-04-29,access_a_ride,7844.0
2020-04-29,bridges_and_tunnels,410502.0
2020-04-29,bus,15406.0
2020-04-29,lirr,9100.0
2020-04-29,metro_north,10165.0
2020-04-29,staten_island_railway,790.0
2020-04-29,subway,477799.0
2020-04-30,access_a_ride,7253.0
2020-04-30,bridges_and_tunnels,405168.0
2020-04-30,bus,14062.0
2020-04-30,lirr,9335.0
2020-04-30,metro_north,9971.0
2020-04-30,staten_island_railway,764.0
2020-04-30,subway,465869.0
2020-05-01,access_a_ride,8332.0
2020-05-01,bridges_and_tunnels,445621.0
2020-05-01,bus,14893.0
2020-05-01,lirr,6200.0
2020-05-01,metro_north,9206.0
2020-05-01,staten_island_railway,763.0
2020-05-01,subway,494549.0
2020-05-02,access_a_ride,5493.0
2020-05-02,bridges_and_tunnels,401938.0
2020-05-02,bus,8912.0
2020-05-02,lirr,3959.0
2020-05-02,metro_north,5908.0
2020-05-02,staten_island_railway,489.0
2020-05-02,subway,325865.0
2020-05-03,access_a_ride,3263.0
2020-05-03,bridges_and_tunnels,353314.0
2020-05-03,bus,6404.0
2020-05-03,lirr,3314.0
2020-05-03,metro_north,4839.0
2020-05-03,staten_island_railway,334.0
2020-05-03,subway,258865.0
2020-05-04,access_a_ride,8287.0
2020-05-04,bridges_and_tunnels,447424.0
2020-05-04,bus,16315.0
2020-05-04,lirr,11158.0
2020-05-04,metro_north,10764.0
2020-05-04,staten_island_railway,897.0
2020-05-04,subway,511866.0
2020-05-05,access_a_ride,8445.0
2020-05-05,bridges_and_tunnels,462085.0
2020-05-05,bus,16377.0
2020-05-05,lirr,13265.0
2020-05-05,metro_north,10604.0
2020-05-05,staten_island_railway,894.0
2020-05-05,subway,522085.0
2020-05-06,access_a_ride,8832.0
2020-05-06,bridges_and_tunnels,444179.0
2020-05-06,bus,15677.0
2020-05-06,lirr,14489.0
2020-05-06,metro_north,10107.0
2020-05-06,staten_island_railway,822.0
2020-05-06,subway,508824.0
2020-05-07,access_a_ride,8509.0
2020-05-07,bridges_and_tunnels,488836.0
2020-05-07,bus,16130.0
2020-05-07,lirr,16139.0
2020-05-07,metro_north,11247.0
2020-05-07,staten_island_railway,930.0
2020-05-07,subway,535073.0
2020-05-08,access_a_ride,8656.0
2020-05-08,bridges_and_tunnels,483830.0
2020-05-08,bus,14571.0
2020-05-08,lirr,15714.0
2020-05-08,metro_north,11242.0
2020-05-08,staten_island_railway,811.0
2020-05-08,subway,526054.0
2020-05-09,access_a_ride,5055.0
2020-05-09,bridges_and_tunnels,371426.0
2020-05-09,bus,7594.0
2020-05-09,lirr,7651.0
2020-05-09,metro_north,6017.0
2020-05-09,staten_island_railway,489.0
2020-05-09,subway,316883.0
2020-05-10,access_a_ride,3962.0
2020-05-10,bridges_and_tunnels,415867.0
2020-05-10,bus,6367.0
2020-05-10,lirr,7990.0
2020-05-10,metro_north,5878.0
2020-05-10,staten_island_railway,406.0
2020-05-10,subway,271947.0
2020-05-11,access_a_ride,7636.0
2020-05-11,bridges_and_tunnels,458041.0
2020-05-11,bus,15176.0
2020-05-11,lirr,18349.0
2020-05-11,metro_north,11434.0
2020-05-11,staten_island_railway,829.0
2020-05-11,subway,520873.0
2020-05-12,access_a_ride,8271.0
2020-05-12,bridges_and_tunnels,488406.0
2020-05-12,bus,15989.0
2020-05-12,lirr,19018.0
2020-05-12,metro_north,11488.0
2020-05-12,staten_island_railway,914.0
2020-05-12,subway,553372.0
2020-05-13,access_a_ride,9437.0
2020-05-13,bridges_and_tunnels,509243.0
2020-05-13,bus,16170.0
2020-05-13,lirr,19356.0
2020-05-13,metro_north,11931.0
2020-05-13,staten_island_railway,956.0
2020-05-13,subway,565377.0
2020-05-14,access_a_ride,8855.0
2020-05-14,bridges_and_tunnels,520395.0
2020-05-14,bus,15905.0
2020-05-14,lirr,19310.0
2020-05-14,metro_north,12131.0
2020-05-14,staten_island_railway,923.0
2020-05-14,subway,567392.0
2020-05-15,access_a_ride,9473.0
2020-05-15,bridges_and_tunnels,562990.0
2020-05-15,bus,15481.0
2020-05-15,lirr,20092.0
2020-05-15,metro_north,12936.0
2020-05-15,staten_island_railway,976.0
2020-05-15,subway,587808.0
2020-05-16,access_a_ride,5947.0
2020-05-16,bridges_and_tunnels,477097.0
2020-05-16,bus,8742.0
2020-05-16,lirr,11075.0
2020-05-16,metro_north,8100.0
2020-05-16,staten_island_railway,485.0
2020-05-16,subway,360844.0
2020-05-17,access_a_ride,3577.0
2020-05-17,bridges_and_tunnels,391606.0
2020-05-17,bus,6504.0
2020-05-17,lirr,8793.0
2020-05-17,metro_north,6168.0
2020-05-17,staten_island_railway,337.0
2020-05-17,subway,287418.0
2020-05-18,access_a_ride,8969.0
2020-05-18,bridges_and_tunnels,505314.0
2020-05-18,bus,17206.0
2020-05-18,lirr,22113.0
2020-05-18,metro_north,13141.0
2020-05-18,staten_island_railway,1036.0
2020-05-18,subway,595469.0
2020-05-19,access_a_ride,9290.0
2020-05-19,bridges_and_tunnels,524482.0
2020-05-19,bus,17296.0
2020-05-19,lirr,21599.0
2020-05-19,metro_north,12777.0
2020-05-19,staten_island_railway,1067.0
2020-05-19,subway,610884.0
2020-05-20,access_a_ride,10224.0
2020-05-20,bridges_and_tunnels,542409.0
2020-05-20,bus,17674.0
2020-05-20,lirr,22224.0
2020-05-20,metro_north,12753.0
2020-05-20,staten_island_railway,1044.0
2020-05-20,subway,623749.0
2020-05-21,access_a_ride,9731.0
2020-05-21,bridges_and_tunnels,585552.0
2020-05-21,bus,17565.0
2020-05-21,lirr,22585.0
2020-05-21,metro_north,13294.0
2020-05-21,staten_island_railway,1069.0
2020-05-21,subway,629298.0
2020-05-22,access_a_ride,9782.0
2020-05-22,bridges_and_tunnels,626983.0
2020-05-22,bus,16453.0
2020-05-22,lirr,22830.0
2020-05-22,metro_north,14711.0
2020-05-22,staten_island_railway,1046.0
2020-05-22,subway,633883.0
2020-05-23,access_a_ride,5550.0
2020-05-23,bridges_and_tunnels,394091.0
2020-05-23,bus,7186.0
2020-05-23,lirr,10983.0
2020-05-23,metro_north,7613.0
2020-05-23,staten_island_railway,420.0
2020-05-23,subway,335830.0
2020-05-24,access_a_ride,4117.0
2020-05-24,bridges_and_tunnels,461170.0
2020-05-24,bus,6642.0
2020-05-24,lirr,11871.0
2020-05-24,metro_north,8977.0
2020-05-24,staten_island_railway,361.0
2020-05-24,subway,320015.0
2020-05-25,access_a_ride,5428.0
2020-05-25,bridges_and_tunnels,445015.0
2020-05-25,bus,7996.0
2020-05-25,lirr,19321.0
2020-05-25,metro_north,12982.0
2020-05-25,staten_island_railway,441.0
2020-05-25,subway,393918.0
2020-05-26,access_a_ride,9875.0
2020-05-26,bridges_and_tunnels,587269.0
2020-05-26,bus,17819.0
2020-05-26,lirr,26691.0
2020-05-26,metro_north,14937.0
2020-05-26,staten_island_railway,1173.0
2020-05-26,subway,656766.0
2020-05-27,access_a_ride,11088.0
2020-05-27,bridges_and_tunnels,601140.0
2020-05-27,bus,17911.0
2020-05-27,lirr,26483.0
2020-05-27,metro_north,14432.0
2020-05-27,staten_island_railway,1240.0
2020-05-27,subway,674465.0
2020-05-28,access_a_ride,10030.0
2020-05-28,bridges_and_tunnels,584628.0
2020-05-28,bus,17535.0
2020-05-28,lirr,25175.0
2020-05-28,metro_north,14161.0
2020-05-28,staten_island_railway,1191.0
2020-05-28,subway,658057.0
2020-05-29,access_a_ride,10185.0
2020-05-29,bridges_and_tunnels,598607.0
2020-05-29,bus,16378.0
2020-05-29,lirr,25070.0
2020-05-29,metro_north,15697.0
2020-05-29,staten_island_railway,1094.0
2020-05-29,subway,657259.0
2020-05-30,access_a_ride,6143.0
2020-05-30,bridges_and_tunnels,537179.0
2020-05-30,bus,9112.0
2020-05-30,lirr,15557.0
2020-05-30,metro_north,11003.0
2020-05-30,staten_island_railway,18.0
2020-05-30,subway,426737.0
2020-05-31,access_a_ride,4216.0
2020-05-31,bridges_and_tunnels,495487.0
2020-05-31,bus,6724.0
2020-05-31,lirr,13554.0
2020-05-31,metro_north,9390.0
2020-05-31,staten_island_railway,2.0
2020-05-31,subway,344426.0
2020-06-01,access_a_ride,10760.0
2020-06-01,bridges_and_tunnels,595059.0
2020-06-01,bus,17833.0
2020-06-01,lirr,34339.0
2020-06-01,metro_north,16184.0
2020-06-01,staten_island_railway,1358.0
2020-06-01,subway,687162.0
2020-06-02,access_a_ride,11206.0
2020-06-02,bridges_and_tunnels,579411.0
2020-06-02,bus,16576.0
2020-06-02,lirr,33769.0
2020-06-02,metro_north,16294.0
2020-06-02,staten_island_railway,1516.0
2020-06-02,subway,693760.0
2020-06-03,access_a_ride,11962.0
2020-06-03,bridges_and_tunnels,582624.0
2020-06-03,bus,17830.0
2020-06-03,lirr,32523.0
2020-06-03,metro_north,15649.0
2020-06-03,staten_island_railway,1323.0
2020-06-03,subway,681714.0
2020-06-04,access_a_ride,12000.0
2020-06-04,bridges_and_tunnels,650868.0
2020-06-04,bus,18538.0
2020-06-04,lirr,29771.0
2020-06-04,metro_north,17149.0
2020-06-04,staten_island_railway,1346.0
2020-06-04,subway,726672.0
2020-06-05,access_a_ride,11698.0
2020-06-05,bridges_and_tunnels,643562.0
2020-06-05,bus,16863.0
2020-06-05,lirr,33482.0
2020-06-05,metro_north,18065.0
2020-06-05,staten_island_railway,1249.0
2020-06-05,subway,703576.0
2020-06-06,access_a_ride,6591.0
2020-06-06,bridges_and_tunnels,551793.0
2020-06-06,bus,8912.0
2020-06-06,lirr,18090.0
2020-06-06,metro_north,12179.0
2020-06-06,staten_island_railway,9.0
2020-06-06,subway,464198.0
2020-06-07,access_a_ride,4650.0
2020-06-07,bridges_and_tunnels,538418.0
2020-06-07,bus,7579.0
2020-06-07,lirr,16797.0
2020-06-07,metro_north,11231.0
2020-06-07,staten_island_railway,95.0
2020-06-07,subway,377990.0
2020-06-08,access_a_ride,11957.0
2020-06-08,bridges_and_tunnels,644829.0
2020-06-08,bus,25663.0
2020-06-08,lirr,42630.0
2020-06-08,metro_north,20140.0
2020-06-08,staten_island_railway,1596.0
2020-06-08,subway,804542.0
2020-06-09,access_a_ride,12869.0
2020-06-09,bridges_and_tunnels,680462.0
2020-06-09,bus,26247.0
2020-06-09,lirr,42274.0
2020-06-09,metro_north,19543.0
2020-06-09,staten_island_railway,1662.0
2020-06-09,subway,842306.0
2020-06-10,access_a_ride,13616.0
2020-06-10,bridges_and_tunnels,680270.0
2020-06-10,bus,26735.0
2020-06-10,lirr,43083.0
2020-06-10,metro_north,20517.0
2020-06-10,staten_island_railway,1767.0
2020-06-10,subway,857015.0
2020-06-11,access_a_ride,12514.0
2020-06-11,bridges_and_tunnels,656695.0
2020-06-11,bus,24284.0
2020-06-11,lirr,40961.0
2020-06-11,metro_north,19525.0
2020-06-11,staten_island_railway,1576.0
2020-06-11,subway,818297.0
2020-06-12,access_a_ride,13224.0
2020-06-12,bridges_and_tunnels,765491.0
2020-06-12,bus,24459.0
2020-06-12,lirr,45072.0
2020-06-12,metro_north,24165.0
2020-06-12,staten_island_railway,1656.0
2020-06-12,subway,896658.0
2020-06-13,access_a_ride,7794.0
2020-06-13,bridges_and_tunnels,631064.0
2020-06-13,bus,12115.0
2020-06-13,lirr,25355.0
2020-06-13,metro_north,16675.0
2020-06-13,staten_island_railway,17.0
2020-06-13,subway,545316.0
2020-06-14,access_a_ride,5195.0
2020-06-14,bridges_and_tunnels,563725.0
2020-06-14,bus,8731.0
2020-06-14,lirr,20859.0
2020-06-14,metro_north,13794.0
2020-06-14,staten_island_railway,7.0
2020-06-14,subway,430439.0
2020-06-15,access_a_ride,12953.0
2020-06-15,bridges_and_tunnels,674785.0
2020-06-15,bus,27057.0
2020-06-15,lirr,47545.0
2020-06-15,metro_north,22841.0
2020-06-15,staten_island_railway,1813.0
2020-06-15,subway,897112.0
2020-06-16,access_a_ride,12939.0
2020-06-16,bridges_and_tunnels,695359.0
2020-06-16,bus,28049.0
2020-06-16,lirr,46876.0
2020-06-16,metro_north,22555.0
2020-06-16,staten_island_railway,1874.0
2020-06-16,subway,932671.0
2020-06-17,access_a_ride,14595.0
2020-06-17,bridges_and_tunnels,709679.0
2020-06-17,bus,27924.0
2020-06-17,lirr,47166.0
2020-06-17,metro_north,24167.0
2020-06-17,staten_island_railway,1857.0
2020-06-17,subway,948461.0
2020-06-18,access_a_ride,13808.0
2020-06-18,bridges_and_tunnels,729486.0
2020-06-18,bus,27516.0
2020-06-18,lirr,47851.0
2020-06-18,metro_north,24081.0
2020-06-18,staten_island_railway,1936.0
2020-06-18,subway,942382.0
2020-06-19,access_a_ride,13868.0
2020-06-19,bridges_and_tunnels,797518.0
2020-06-19,bus,25578.0
2020-06-19,lirr,50201.0
2020-06-19,metro_north,27772.0
2020-06-19,staten_island_railway,1751.0
2020-06-19,subway,986929.0
2020-06-20,access_a_ride,8185.0
2020-06-20,bridges_and_tunnels,666226.0
2020-06-20,bus,11899.0
2020-06-20,lirr,28959.0
2020-06-20,metro_north,18559.0
2020-06-20,staten_island_railway,22.0
